img	ruler pixel/cm
PIC_20151028_081555_F69.png	204.225757
PIC_20151104_081455_3ED.png	190.336229
PIC_20151112_093841_133.png	31.425291
PIC_20160202_103430_F18.png	192.539476
PIC_20160214_145603_41B.png	43.204745
PIC_20160708_142626_7FB.png	207.601951
PIC_20160708_143352_FB1.png	146.808719
PIC_20160711_090444_E43.png	201.764665
PIC_20160712_090227_E44.png	154.850250
PIC_20160722_125251_E6C.png	115.491385
PIC_20160723_122817_643.png	60.345857
PIC_20160726_103127_74D.png	64.694513
PIC_20160802_104308_33D.png	170.271342
PIC_20160809_080932_006.png	199.958496
PIC_20160816_084227_F64.png	142.845371
PIC_20160819_103915_286.png	162.901105
PIC_20160823_152128_7F6.png	206.091266
PIC_20160830_085002_4D8.png	136.270356
PIC_20160830_085247_0B6.png	124.958913
PIC_20160906_081821_6AF.png	160.873024
PIC_20160913_100312_09E.png	157.488285
zhaopian 310.png	309.505291
